지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
포천,2017-01-12 15:00,1.7,254.1,4.5,0,,,4.4,0,0
포천,2017-01-12 16:00,0.3,247.2,5,0,,,5.5,0,0
포천,2017-01-12 17:00,-1,254.1,3.5,0,,,6.8,0,0
포천,2017-01-12 18:00,-2.9,237.7,3,0,,,9.5,0,0
포천,2017-01-12 19:00,-3.8,248,3.2,0,,,12.7,0,0
포천,2017-01-12 20:00,-4.5,242.3,4.1,0,,,11.1,0,0
포천,2017-01-12 21:00,-4.6,215.9,3.3,0,,,9.9,0,0
포천,2017-01-12 22:00,-5.6,228.9,1.6,0,,,14.7,0,0
포천,2017-01-12 23:00,-6.2,210.1,1.9,0,,,12.3,0,0
포천,2017-01-13 0:00,-6.5,139.3,1.4,0,,,15.3,0,0
포천,2017-01-13 1:00,-7.5,214.3,3.4,0,,,26.6,0,0
포천,2017-01-13 2:00,-8,211.6,3.1,0,,,30.6,0,0
포천,2017-01-13 3:00,-8.1,226.2,2.3,0,,,30.2,0,0
포천,2017-01-13 4:00,-8,162.6,1.8,0,,,25.3,0,0
포천,2017-01-13 5:00,-9.2,85.8,0.9,0,,,32.3,0,0
포천,2017-01-13 6:00,-8.7,195.7,0.8,0,,,37.6,0,0
포천,2017-01-13 7:00,-8.1,76.3,1,0,,,32.6,0,0
포천,2017-01-13 8:00,-6.8,38.1,1.2,0,,,23.4,0,0
포천,2017-01-13 9:00,-6.8,61.6,1.6,0,,,33.9,0,0
포천,2017-01-13 10:00,-7.5,91.1,2,0,,,51.6,0,0
포천,2017-01-13 11:00,-7.3,191.4,1.5,0,,,56.9,0,0
포천,2017-01-13 12:00,-4.3,195.8,1,0,,,65.4,0,0
포천,2017-01-13 13:00,-2.4,214.8,2.4,0,,,51.5,0,0
포천,2017-01-13 14:00,-0.8,266.2,3.5,0,,,40.4,0,0
포천,2017-01-13 15:00,-0.7,273.7,4.1,0,,,35.1,0,0
포천,2017-01-13 16:00,-1.7,240.2,5.3,0,,,36.2,0,0
포천,2017-01-13 17:00,-2.9,268.7,3.3,0,,,39.6,0,0
포천,2017-01-13 18:00,-4.4,281.8,2.8,0,,,42.2,0,0
포천,2017-01-13 19:00,-5.2,247,3.8,0,,,44.6,0,0
포천,2017-01-13 20:00,-6.7,251.2,3.3,0,,,47.8,0,0
포천,2017-01-13 21:00,-7.2,27.5,2.9,0,,,41.8,0,0
포천,2017-01-13 22:00,-8.1,54.1,1.2,0,,,42.8,0,0
포천,2017-01-13 23:00,-8.9,0,0.3,0,,,44.9,0,0
포천,2017-01-14 0:00,-9.7,256.1,1.3,0,,,52.4,0,0
포천,2017-01-14 1:00,-10,120.4,1.7,0,,,54,0,0
포천,2017-01-14 2:00,-9.1,265.3,1.7,0,,,46,0,0
포천,2017-01-14 3:00,-8.8,37.1,2,0,,,42.8,0,0
포천,2017-01-14 4:00,-9.5,337.3,1.8,0,,,48.1,0,0
포천,2017-01-14 5:00,-9.6,332.8,1.9,0,,,45.8,0,0
포천,2017-01-14 6:00,-9.9,325.5,3.1,0,,,44.6,0,0
포천,2017-01-14 7:00,-10.1,300.2,3.3,0,,,41.1,0,0
포천,2017-01-14 8:00,-10.6,334.2,2.6,0,,,41.4,0,0
